word	sent1	sent2	group	mean	annotator1	annotator2	annotator3	annotator4	annotator5
богадельня	-- Да куда же я пойду! ну, говори, дура, куда я денусь-то! -- тосковала Прасковья Павловна, -- в <b><i>богадельню</i></b> меня не возьмут: я не мещанка! в услужение идти -- сил моих нету! дрова колоть -- так я и топора в руки взять не умею!	"<b><i>Богадельни,</i></b> больницы, приюты для сирот и подкидышей, бесспорно, всегда и везде заслуживают названия истинно благотворительных учреждений; но о ""стипендиях"" и других педагогических мероприятиях и жертвах нельзя сказать того же без оговорки."	EARLIER	3.8	4	4	3	4	4
богадельня	-- Нет, Зиночка, не в <b><i>богадельню,</i></b> а в Дом ветеранов революции!	Разрешения этого пока не последовало, а деньги, в размере 3000 р., получены из думы, под расписку купца Брадецкого, по уполномочию от общества, на содержание <b><i>богадельни.</i></b>	COMPARE	3.8	3	4	4	4	4
богадельня	-- Этот сумасбродный филантроп, которому золото бросилось в голову, как молоко кормилице Да, конечно, что Я могу сделать Еще один университет в Чикаго Еще <b><i>богадельню</i></b> в Сан-Франциско Еще одну гуманную исправительную тюрьму в Нью-Йорке -- Последнее было бы истинным благодеянием для человечества.	К бульвару, у <b><i>богадельни,</i></b> туда же, куда направлялся доктор, от мясных лавок, от Репьевки, бежали с засученными рукавами в одних подштанниках отдельные хлыновцы.	LATER	3.6	4	4	3	3	4
богадельня	-- Я вам еще готов дать пятьдесят рублей на вашу <b><i>богадельню,</i></b> если вы мне докажете, что у Кишенского был источник, из которого он хватил капитал, на который бы мог так развернуться.	По указу царя произвели в Москве разборку нищих и убогих, питавшихся подаяниями, и действительно беспомощных поместили на казенное содержание в двух устроенных для того <b><i>богадельнях,</i></b> а здоровых определили на разные работы.	EARLIER	2.6	3	1	2	3	4
богадельня	<b><i>Богадельня,</i></b> или исправительный дом, ночлежка.	Настроит богаделен, ещё церковь выстроит, замостит и выровняет улицы.	COMPARE	3.4	3	4	3	4	3
богадельня	<b><i>Богадельня</i></b> -- царство забвения -- удел актеров, а не писателей.	Газета не <b><i>богадельня,</i></b> не странно-приимный дом.	COMPARE	3.4	3	3	3	4	4
богадельня	А не можем -- будем писать заявление в <b><i>богадельню.</i></b>	А старшая -- в это время -- так состарилась, стала такая грязная и бедная, что Осип ее из <b><i>богадельни</i></b> выгнал: взял палку и выгнал.	LATER	2.6	2	4	2	4	1
богадельня	В 1772 году был случай, когда 15 инвалидов одной <b><i>богадельни</i></b> в очень короткий срок повесились на одном и том же крюке, находившемся в темном проходе здания <b><i>богадельни.</i></b>	Обычай подкидывания детей в <b><i>богадельню</i></b> заставил Переславскую думу определить двух нянек (теперь их три), назначив им в месяц на прокормление 1/2 пуда (8 кг) ржаной муки, мерку крупы, немного масла и соли и 1 рубль жалованья.	COMPARE	3.8	4	4	4	3	4
богадельня	В <b><i>богадельню</i></b> ей идти придется, да и то если протекция.	Множество вспоможений делывал он сам раненым и больным, чиня своими руками операции, перевязывая раны, пуская кровь, прикладывая корпии и пластыри, посещая госпитали, врачуя и покоя воинов в оных, учреждая <b><i>богадельни</i></b> для бедных и увечных, дряхлых и престарелых, повелевая здаровым и силы еще имеющим работать и не быть в празности, для сирот и малолетных заводя училища, -- все сие доказывает истинное его отеческое сердоболие.	EARLIER	3.6	4	3	3	4	4
богадельня	"В соседней <b><i>богадельне</i></b> открыто говорили ""о поругании пречистых икон"" московскими еретиками, а местные иконники с удовольствием подливали масла в огонь вновь явившимся, в лице нас, конкурентам."	Школе чужда была отвратительная снисходительность к прошлому, как к некоторой <b><i>богадельне,</i></b> где кучка стариков в хламидах и сандалиях или париках и камзолах врет непроглядную отсебятину, извинимую причудами коринфского ордера, готики, барокко или какого-нибудь иного зодческого стиля.	LATER	3.2	2	2	4	4	4
богадельня	Вести 3-го апреля в петербургской ремесленной <b><i>богадельне</i></b> призреваемые, свыше 500 стариков и старух, недовольные дурным столом и другими порядками в <b><i>богадельне</i></b> устроили шумную демонстрацию.	Как например делают те, кои за некое благодеяние Божие обещались пред ним, чтоб соорудить в некотором нужном месте храм, и построить для бедных и неимущих <b><i>богадельню,</i></b> или нечто дать на содержание училищ, или также обещались от некоторой страсти отстать: а совсем тем своих обетов не исполняют.	EARLIER	3.2	2	4	3	3	4
